id,name,description,path,icon,icon_type,icon_theme,menu_type,root_menu_id,display_position,dashboard_count_card,status,created_by,modified_by,created_at,modified_at
AUTO-MENU-001,dashboard,dashboard,dashboard,dashboard,nzIcon,outline,1,NA,1,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-002,governance,governance,,compass,nzIcon,outline,1,NA,2,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-003,permission,permission,governance/permission,aim,nzIcon,outline,2,AUTO-MENU-002,2,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-004,menu,menu,governance/menu,menu,nzIcon,outline,2,AUTO-MENU-002,3,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-005,role,role,governance/role,flag,nzIcon,outline,2,AUTO-MENU-002,4,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-006,user,userdetail,governance/user,user,nzIcon,outline,2,AUTO-MENU-002,5,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-007,password,password,governance/password,key,nzIcon,outline,2,AUTO-MENU-002,6,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-008,configuration,configuration,,setting,nzIcon,outline,1,NA,3,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-009,bin,bin,configuration/bin,block,nzIcon,outline,2,AUTO-MENU-008,1,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-010,unit-options,unitoptions,configuration/unit-options,unordered-list,nzIcon,outline,2,AUTO-MENU-008,2,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-011,unit-key,unitkey,configuration/unit-key,key,nzIcon,outline,2,AUTO-MENU-008,3,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-012,merchant,merchant,configuration/merchant,shop,nzIcon,outline,2,AUTO-MENU-008,4,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-013,device,device,configuration/device,tablet,nzIcon,outline,2,AUTO-MENU-008,5,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-014,transaction,transaction,,transaction,nzIcon,outline,1,NA,4,false,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-MENU-015,transaction-today,transactiontoday,configuration/transaction-today,read,nzIcon,outline,2,AUTO-MENU-014,1,true,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
