id,name,description,permission_code,status,created_by,modified_by,created_at,modified_at
AUTO-PERM-001,LIST,List Permission,list,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-002,VIEW,View Permission,view,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-003,ADD,Add Permission,add,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-004,EDIT,Edit Permission,edit,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-005,DELETE,Delete Permission,delete,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-006,APPROVE,Approve Permission,approve,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
AUTO-PERM-007,REJECT,Reject Permission,reject,true,AUTO_SCRIPT,AUTO_SCRIPT,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP



